"Codice articolo","Descrizione","Categoria","Prezzo"
"MCV691","Cabl. dp18 hopper-2 mh541","CAVI/CABLAGGI","22,656"
"MCV698","DP18T alimentazione monitor 12v mh522","CAVI/CABLAGGI","35,92"
"MCV802","Cablaggio display grafico 128x240-MH430 paypoint e change mini","CAVI/CABLAGGI","44,6306"
"MCV874A","Cavo motore sblocco apertura cassetto prodotti x DP18-DP30-DP60","CAVI/CABLAGGI","12,4608"
"MCV869","Cablaggio power can mh522 - mh430","CAVI/CABLAGGI","21,712"
"MCV952","Cavo CCTALK da MH499 a MH572","CAVI/CABLAGGI","18,88"
"MCV966","Cablaggio CCTALK MH499-MH576","CAVI/CABLAGGI","16,992"
"MCV967","Cablaggio CCTalk MH576-MH576 (Display prezzi)","CAVI/CABLAGGI",""
"MCV1059","Cablaggio sensore D7E-2 tilt low (100/170gal) per DS60","CAVI/CABLAGGI","11,9416"
"MCV1141","Cavo Stampante Power > MH430-P x PPT - L. cm.150","CAVI/CABLAGGI","7,08"
"MCV1151","Cablaggio Barriera Ottica - DP40","CAVI/CABLAGGI","35,92"
"MCV1152","Cavo Illuminatore cassetto ritiro x DP40 - da MH522 a MH441","CAVI/CABLAGGI","14,16"
"MCV1223","Cavo Alimentazione Stampante TG02 - L. cm.180","CAVI/CABLAGGI","18,3136"
"MCV1307","Cavo MH430-RS232-Stampante SANEI SK4-21S (180cm)","CAVI/CABLAGGI","26,94"
"MCV1308","Cavo Power 24V stampante SANEI SK4-21S (180cm)","CAVI/CABLAGGI","32,4178"
"MCV1161","Cavo MH555 > Ghigliottina Switch Fine corsa DIETRO - DP40","CAVI/CABLAGGI","13,688"
"MCV1162","Cavo MH555 > Ghigliottina Switch Fine corsa AVANTI - DP40","CAVI/CABLAGGI","16,048"
"MCV1191","Cablaggio CCTALK MH566->MH541(C) X DS60","CAVI/CABLAGGI","18,6912"
"MCV1219","Cavo CCTalk  MH541A > MH566 - DS60","CAVI/CABLAGGI","29,185"
"MCV1293","Cavo per Motore cassetto ritiro prodotti -  DD60","CAVI/CABLAGGI","23,6"
"MCV1301","Cavo MH430- RS232 - Stampante SANEI SK4-21S (55cm)","CAVI/CABLAGGI","23,6472"
"MCV1302","Cavo Power 24V stampante SANEI SK4-21S (55cm)","CAVI/CABLAGGI","23,5276"
"MCV1303","Cavo MH430-RS232-Stampante SANEI SK4-21S (120cm)","CAVI/CABLAGGI","26,94"
"MCV1304","Cavo Power 24V stampante SANEI SK4-21S (120cm)","CAVI/CABLAGGI","26,94"
"MCV1382","Cavo per alimentazione rete 230Vac box alimentatore -  DD60","CAVI/CABLAGGI","14,2544"
"MCV1494","Cablaggio CCTalk - Lungh. 200 cm.","CAVI/CABLAGGI","21,712"
"MCV1496","Cablaggio Alimentazione 12V per Pos Ingenico - DD06","CAVI/CABLAGGI","12,744"
"MCV1498","Cablaggio Alimentazione 12V per MH582 - DD06","CAVI/CABLAGGI","11,328"
"MCV1499","Cablaggio Flat 10 vie per MD Small in CCTalk - DD06","CAVI/CABLAGGI","24,695"
